stop_id,stop_code,stop_name,stop_lat,stop_lon
102254,102254,AUBURN AVE NE @ PARK PL NE,33.755736,-84.387778
102258,102258,ALABAMA ST @ BROAD ST (FIVE POINTS STATION),33.753505,-84.391973
102262,102262,MITCHELL ST SW @ CENTRAL AVE SW,33.74963,-84.390687
102270,102270,BROAD ST @ ALABAMA ST (FIVE POINTS STATION),33.753138,-84.392179
102274,102274,ALABAMA ST @ FORSYTH ST (FIVE POINTS STATION),33.753809,-84.392419
102282,102282,DECATUR ST SE @ COLLINS ST SE,33.752282,-84.386602
102284,102284,AUBURN AVE @ PIEDMONT AVE,33.755596,-84.382614
102289,102289,FORSYTH ST @ ALABAMA ST (FIVE POINTS STATION),33.754015,-84.392419
102292,102292,FORSYTH ST @ ALABAMA ST (FIVE POINTS STATION),33.753944,-84.392626
102294,102294,FORSYTH ST@MARTIN LUTHER KING J DR,33.752547,-84.393592
102296,102296,FORSYTH ST SW@MITCHELL ST SW,33.751385,-84.394394
102298,102298,AUBURN AVE @ EQUITABLE PL NE,33.755584,-84.387626
102308,102308,PEACHTREE ST @ DECATUR ST,33.75425,-84.389767
102310,102310,PEACHTREE ST NE @ EDGEWOOD AVE SE,33.754599,-84.389636
102316,102316,COCA COLA PL @ JESSE HILL JR DR,33.753699,-84.380863
102512,102512,JESSE HILL JR DR SE @ GILMER ST,33.751912,-84.382995
102518,102518,JESSE HILL JR DR SE @ ARMSTRONG ST,33.752997,-84.381904
102526,102526,BELL ST SE @ PRATT ST SE,33.752715,-84.379623
102530,102530,DECATUR ST @ MOORE ST,33.74965,-84.380793
102532,102532,SPRING ST@CASTLEBERRY ST,33.747384,-84.397702
102534,102534,MITCHELL ST @ PEACHTREE ST,33.750915,-84.393191
102542,102542,GA STATE STATION (JESSE HILL JR DR),33.749764,-84.385434
102544,102544,PRYOR ST@RAWSON ST,33.744606,-84.39452
102546,102546,CENTRAL AVE@PULLIAM ST,33.743984,-84.393218
102554,102554,SPRING ST@BROTHERTON ST,33.749164,-84.398123
102558,102558,AUBURN AVE @ COURTLAND ST,33.755524,-84.384017
103052,103052,AUBURN AVE NE @ JESSE HILL JR DR NE,33.755472,-84.379962
103060,103060,BOULEVARD NE@OLD WHEAT ST NE,33.755616,-84.371808
103062,103062,AUBURN AVE NE @ HILLIARD ST NE,33.755554,-84.376928
103083,103083,HILL ST SE @ WOODWARD AVE SE,33.745528,-84.379248
103084,103084,HILL ST SE @ MEMORIAL DR SE,33.746315,-84.379227
103090,103090,MEMORIAL DR SE@POWELL ST SE,33.746697,-84.365607
103092,103092,MEMORIAL DR SE@BEREAN AVE SE,33.746697,-84.366531
103094,103094,MEMORIAL DR SE@CAMERON ST SE,33.746625,-84.365226
103095,103095,MEMORIAL DR SE@BOULEVARD SE,33.746812,-84.36802
103097,103097,MEMORIAL DR SE@BEREAN AVE SE,33.7466,-84.366961
103098,103098,MEMORIAL DR SE@BOULEVARD  SE,33.746669,-84.368139
103100,103100,MEMORIAL DR SE@PARK AVE SE,33.746686,-84.369716
103101,103101,MEMORIAL DR SE@LOOMIS AVE SE,33.746695,-84.371411
